route_id,airline,origin_iata,origin_airport,origin_city,origin_country,origin_latitude,origin_longitude,destination_iata,destination_airport,destination_city,destination_country,destination_latitude,destination_longitude,region,distance_km,route_type,route_scope,summer_2026_status,point_type,path_order,latitude,longitude
QR-DOH-AYT,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,AYT,Antalya International Airport,Antalya,TR,36.898701,30.800501,Europe,2357,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-BCN,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BCN,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.2971,2.07846,Europe,4862,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-BEG,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BEG,Belgrade Nikola Tesla Airport,Belgrade,RS,44.818401,20.309099,Europe,3546,Medium-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-BER,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BER,Berlin Brandenburg Airport,Berlin,DE,52.361738,13.502341,Europe,4382,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-BHX,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BHX,Birmingham Airport,"Birmingham, West Midlands",GB,52.453899,-1.74803,Europe,5352,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-BJV,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BJV,Milas Bodrum International Airport,Bodrum,TR,37.249314,27.66401,Europe,2625,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-BKK,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BKK,Suvarnabhumi Airport,Bangkok,TH,13.6811,100.747002,Asia-Pacific,5280,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-BLR,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BLR,Kempegowda International Airport Bengaluru,Bengaluru,IN,13.1979,77.706299,Asia-Pacific,3043,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-BNE,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BNE,Brisbane International Airport,Brisbane,AU,-27.38419914245605,153.11700439453125,Asia-Pacific,12330,Ultra-long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-BOG,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BOG,El Dorado International Airport,Bogota,CO,4.70159,-74.1469,Americas,13282,Ultra-long-haul,Qatar Airways network destination from Doha,Returning / announced (2026-07-22),Origin,1,25.273056,51.608056
QR-DOH-BOM,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN,19.088699,72.867897,Asia-Pacific,2291,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-BOS,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BOS,Boston Logan International Airport,Boston,US,42.36197,-71.0079,Americas,10470,Long-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-BRU,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BRU,Brussels Airport,Zaventem,BE,50.901402,4.48444,Europe,4892,Medium-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-BUD,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,BUD,Budapest Liszt Ferenc International Airport,Budapest,HU,47.43018,19.262393,Europe,3756,Medium-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-CAI,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CAI,Cairo International Airport,Cairo,EG,30.111534,31.396694,Africa,2058,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CAN,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CAN,Guangzhou Baiyun International Airport,Guangzhou (Huadu),CN,23.392401,113.299004,Asia-Pacific,6197,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CCS,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CCS,Maiquetía Simón Bolívar International Airport,Maiquetía,VE,10.602214,-66.991174,Americas,12265,Ultra-long-haul,Qatar Airways network destination from Doha,Returning / announced (2026-07-22),Origin,1,25.273056,51.608056
QR-DOH-CCU,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,IN,22.654012,88.44765,Asia-Pacific,3743,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CDG,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CDG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",FR,49.00896,2.554117,Europe,4969,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CGK,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CGK,Soekarno-Hatta International Airport,Jakarta,ID,-6.12557,106.655998,Asia-Pacific,6894,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CKG,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CKG,Chongqing Jiangbei International Airport,Chongqing,CN,29.712254,106.651895,Asia-Pacific,5402,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CMB,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CMB,Bandaranaike International Colombo Airport,Colombo,LK,7.180759906768799,79.88410186767578,Asia-Pacific,3613,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CMN,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CMN,Mohammed V International Airport,Casablanca,MA,33.3675,-7.58997,Africa,5734,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-COK,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,COK,Cochin International Airport,Kochi,IN,10.151047,76.400838,Asia-Pacific,3108,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CPH,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CPH,Copenhagen Kastrup Airport,Copenhagen,DK,55.617900848389,12.656000137329,Europe,4610,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CPT,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CPT,Cape Town International Airport,Cape Town,ZA,-33.97403,18.604333,Africa,7453,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-CRK,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,CRK,Clark International Airport / Clark Air Base,Mabalacat,PH,15.186,120.559998,Asia-Pacific,7209,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-DAC,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,DAC,Hazrat Shahjalal International Airport,Dhaka,BD,23.843347,90.397783,Asia-Pacific,3913,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-DAR,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,DAR,Julius Nyerere International Airport,Dar es Salaam,TZ,-6.873499,39.207288,Africa,3818,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-DEL,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,DEL,Indira Gandhi International Airport,New Delhi,IN,28.55563,77.09519,Asia-Pacific,2548,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-DFW,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,32.896801,-97.038002,Americas,12745,Ultra-long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-DMM,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,DMM,King Fahd International Airport,Ad Dammam,SA,26.4691,49.798209,Middle East,225,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-DPS,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,DPS,Denpasar I Gusti Ngurah Rai International Airport,"Kuta, Badung",ID,-8.748409,115.167123,Asia-Pacific,7844,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-DUB,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,DUB,Dublin Airport,Dublin,IE,53.428713,-6.262121,Europe,5670,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-DUR,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,DUR,King Shaka International Airport,Durban,ZA,-29.6144444444,31.1197222222,Africa,6483,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-DUS,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,DUS,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,Europe,4755,Medium-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-EBB,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,EBB,Entebbe International Airport,Entebbe,UG,0.042386,32.443501,Africa,3480,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-EDI,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,EDI,Edinburgh Airport,"Ingliston, Edinburgh",GB,55.950145,-3.372288,Europe,5547,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ESB,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ESB,Esenboğa International Airport,Ankara,TR,40.128101,32.995098,Europe,2391,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-EVN,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,EVN,Zvartnots International Airport,Yerevan,AM,40.148941,44.397887,Caucasus & Central Asia,1785,Short-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-FCO,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,FCO,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,IT,41.804532,12.251998,Europe,4038,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-FIH,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,FIH,Ndjili International Airport,Kinshasa,CD,-4.38575,15.4446,Africa,5109,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-FRA,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,FRA,Frankfurt Main Airport,Frankfurt am Main,DE,50.026706,8.55835,Europe,4588,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-GOX,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,GOX,Manohar International Airport,Mopa,IN,15.744257,73.860625,Asia-Pacific,2543,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-GRU,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,GRU,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,São Paulo,BR,-23.431274,-46.469954,Americas,11858,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-GVA,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,GVA,Geneva International Airport,Geneva,CH,46.238098,6.10895,Europe,4636,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-GYD,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,GYD,Heydar Aliyev International Airport,Baku,AZ,40.47278,50.050931,Caucasus & Central Asia,1696,Short-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-HAN,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,HAN,Noi Bai International Airport,Hanoi (Soc Son),VN,21.221201,105.806999,Asia-Pacific,5519,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-HAS,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,HAS,Hail International Airport,Hail,SA,27.437901,41.686298,Middle East,1017,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-HEL,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,HEL,Helsinki Vantaa Airport,Helsinki (Vantaa),FI,60.318363,24.963341,Europe,4397,Medium-haul,Qatar Airways network destination from Doha,Returning / announced (2026-07-15),Origin,1,25.273056,51.608056
QR-DOH-HGH,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,HGH,Hangzhou Xiaoshan International Airport,Hangzhou,CN,30.23609,120.428865,Asia-Pacific,6692,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-HKG,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,HKG,Hong Kong International Airport,Hong Kong,HK,22.31184,113.914862,Asia-Pacific,6291,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-HKT,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,HKT,Phuket International Airport,Phuket,TH,8.113257,98.3174,Asia-Pacific,5295,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-HND,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,HND,Tokyo Haneda International Airport,Tokyo,JP,35.549678,139.786958,Asia-Pacific,8255,Long-haul,Qatar Airways network destination from Doha,Returning / announced (2026-07-15),Origin,1,25.273056,51.608056
QR-DOH-HRE,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,HRE,Robert Gabriel Mugabe International Airport,Harare,ZW,-17.931801,31.0928,Africa,5293,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-HYD,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,HYD,Rajiv Gandhi International Airport,Hyderabad,IN,17.231318,78.429855,Asia-Pacific,2914,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-IAD,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,IAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803,Americas,11127,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-IAH,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,IAH,George Bush Intercontinental Airport,Houston,US,29.9844,-95.3414,Americas,12933,Ultra-long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ICN,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ICN,Incheon International Airport,Seoul,KR,37.469101,126.450996,Asia-Pacific,7052,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ISB,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ISB,Islamabad International Airport,Attock,PK,33.549,72.82566,Asia-Pacific,2246,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-IST,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,IST,İstanbul Airport,Istanbul,TR,41.274874,28.732136,Europe,2757,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-JED,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,JED,King Abdulaziz International Airport,Jeddah,SA,21.680241,39.157436,Middle East,1331,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-JFK,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,JFK,John F. Kennedy International Airport,New York,US,40.639447,-73.779317,Americas,10770,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-JMK,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,JMK,Mykonos Island National Airport,Mykonos,GR,37.435101,25.348101,Europe,2823,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-JNB,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,JNB,O.R. Tambo International Airport,Johannesburg,ZA,-26.140081,28.246801,Africa,6243,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-JRO,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,JRO,Kilimanjaro International Airport,Arusha,TZ,-3.427049,37.07353,Africa,3556,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-KGL,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,KGL,Kigali International Airport,Kigali,RW,-1.96863,30.1395,Africa,3811,Medium-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-KHI,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,KHI,Jinnah International Airport,Karachi,PK,24.9065,67.160797,Asia-Pacific,1566,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-KIX,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,KIX,Kansai International Airport,Osaka,JP,34.427299,135.244003,Asia-Pacific,7905,Long-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-KTI,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,KTI,Techo International Airport,Phnom Penh (Boeng Khyang),KH,11.359987,104.921272,Asia-Pacific,5797,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-KTM,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,KTM,Tribhuvan International Airport,Kathmandu,NP,27.6966,85.3591,Asia-Pacific,3360,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-KUL,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,KUL,Kuala Lumpur International Airport,Sepang,MY,2.74558,101.709999,Asia-Pacific,5909,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-LAX,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,LAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997,Americas,13347,Ultra-long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-LCA,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,LCA,Larnaca International Airport,Larnaca,CY,34.875099,33.624901,Europe,2028,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-LGW,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,LGW,London Gatwick Airport,London,GB,51.148744,-0.185739,Europe,5215,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-LHE,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,LHE,Allama Iqbal International Airport,Lahore,PK,31.521601,74.403603,Asia-Pacific,2330,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-LHR,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,LHR,London Heathrow Airport,London,GB,51.470748,-0.459909,Europe,5241,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-LIS,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,LIS,Lisbon Humberto Delgado Airport,Lisbon,PT,38.7813,-9.13592,Europe,5812,Medium-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-LOS,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,LOS,Murtala Muhammed International Airport,Lagos,NG,6.57737,3.32116,Africa,5528,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
